product_id,product_length,product_depth,product_width,cluster_id,hierarchy1_id,hierarchy2_id,hierarchy3_id,hierarchy4_id,hierarchy5_id,product_name,product_location,product_description,rack_location,price,stock_quantity,discounts
P0035,3.0,17.0,12.5,cluster_7,H00,H0003,H000311,H00031100,H0003110017,Wall Art,Living Room,Framed wall art to beautify the space,"1st Floor, Rack 1",954.0,13,10% discount
P0036,6.0,20.0,10.0,cluster_9,H00,H0004,H000401,H00040105,H0004010539,Bookshelf,Home Office,Wooden bookshelf for storing books and decor,"1st Floor, Rack 9",969.0,10,10% discount
P0037,3.5,10.5,3.5,cluster_0,H01,H0108,H010809,H01080913,H0108091301,Office Chair,Home Office,Ergonomic office chair with lumbar support,"1st Floor, Rack 9",828.0,8,10% discount
P0038,5.0,21.5,5.0,cluster_0,H01,H0108,H010805,H01080500,H0108050033,Desk Lamp,Home Office,Adjustable desk lamp with LED bulbs for workspaces,"1st Floor, Rack 9",374.0,33,10% discount
P0039,11.5,28.0,27.0,cluster_9,H01,H0105,H010501,H01050100,H0105010012,Stationery Set,Home Office,Complete stationery set for all your needs,"1st Floor, Rack 9",188.0,11,10% discount
P0040,7.0,26.5,7.0,,H03,H0312,H031204,H03120400,H0312040000,Timer,Kitchen,Digital kitchen timer with countdown feature,"1st Floor, Rack 3",716.0,34,10% discount
P0041,5.0,28.0,16.0,cluster_6,H03,H0311,H031109,H03110900,H0311090001,Measuring Cups,Kitchen,Set of measuring cups for precise cooking,"1st Floor, Rack 3",496.0,34,10% discount
P0042,1.0,16.0,10.0,cluster_0,H01,H0108,H010811,H01081100,H0108110043,Cutting Board,Kitchen,Bamboo cutting board for food preparation,"1st Floor, Rack 3",210.0,0,10% discount
P0043,3.5,23.0,32.0,cluster_0,H03,H0317,H031702,H03170212,H0317021212,Chef's Knife,Kitchen,High-quality chef's knife for versatile cooking tasks,"1st Floor, Rack 3",546.0,39,10% discount
P0044,1.0,10.0,5.0,cluster_0,H03,H0315,H031504,H03150411,H0315041121,Grocery Bags,Shopping,Reusable grocery bags for eco-friendly shopping,"1st Floor, Rack 10",131.0,21,20% discount
P0045,3.0,17.0,12.5,cluster_3,H00,H0003,H000311,H00031100,H0003110012,Home Organizer,Storage Solutions,Clutter organizer for home office or closet,"2nd Floor, Rack 1",918.0,28,10% discount
P0046,1.7,11.1,9.6,cluster_0,H01,H0108,H010809,H01080900,H0108090006,Pet Food Bowl,Pets,Non-skid pet food bowl for dogs and cats,"2nd Floor, Rack 2",333.0,7,10% discount
P0047,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110900,H0311090002,Pet Bed,Pets,Comfortable pet bed for dogs or cats,"2nd Floor, Rack 2",696.0,10,10% discount
P0048,29.3,14.7,19.8,cluster_0,H01,H0107,H010702,H01070212,H0107021201,Baby Monitor,Nursery,Audio baby monitor for peace of mind,"2nd Floor, Rack 3",381.0,40,30% discount
P0049,2.0,40.0,10.0,cluster_0,H03,H0313,H031305,H03130518,H0313051829,Diapers,Baby,Soft and absorbent diapers for daily use,"2nd Floor, Rack 4",568.0,36,Buy one get one free
P0050,6.9,6.0,6.9,cluster_9,H01,H0108,H010808,H01080815,H0108081512,Stroller,Baby,Lightweight stroller with safety features,"2nd Floor, Rack 4",592.0,13,Buy one get one free
P0051,1.7,17.5,4.5,cluster_7,H00,H0003,H000314,H00031409,H0003140912,Car Seat,Baby,Convertible car seat for infants to toddlers,"2nd Floor, Rack 4",266.0,29,Buy one get one free
P0053,5.0,40.0,40.0,cluster_3,H03,H0311,H031101,H03110101,H0311010124,Baseboard Heater,Home Insulation,Energy-efficient baseboard heater for small rooms,"2nd Floor, Rack 5",973.0,34,50% discount
P0054,8.5,14.6,8.5,cluster_9,H00,H0002,H000201,H00020110,H0002011001,Electric Fireplace,Home Decor,Elegant electric fireplace for cozy ambiance,"2nd Floor, Rack 6",798.0,20,50% discount
P0055,2.3,18.5,13.5,cluster_0,H00,H0003,H000311,H00031109,H0003110906,Decorative Pillows,Living Room,Colorful decorative pillows for sofa or bed,"1st Floor, Rack 1",946.0,36,10% discount
P0056,,12.0,10.0,,H03,H0314,H031401,H03140102,H0314010203,Table Lamp,Living Room,Stylish table lamp with adjustable brightness,"1st Floor, Rack 1",905.0,4,10% discount
P0057,4.0,22.0,9.0,cluster_0,H01,H0108,H010807,H01080709,H0108070901,Shelves,Living Room,Wall-mounted shelves for storage and displays,"1st Floor, Rack 1",638.0,18,10% discount
P0058,3.0,21.0,8.0,cluster_0,H00,H0004,H000401,H00040100,H0004010017,Air Purifier,Living Room,HEPA air purifier for cleaner indoor air,"1st Floor, Rack 1",930.0,13,10% discount
P0059,9.1,29.7,13.2,cluster_0,H01,H0105,H010501,H01050105,H0105010506,Full-length Mirror,Bedroom,Modern full-length mirror with a sleek design,"2nd Floor, Rack 7",180.0,25,50% discount
P0060,7.5,20.5,5.4,cluster_0,H01,H0106,H010600,H01060013,H0106001333,Bed Frame,Bedroom,Sturdy bed frame with under-bed storage options,"2nd Floor, Rack 7",276.0,3,50% discount
P0061,9.3,32.0,19.2,cluster_9,H01,H0105,H010501,H01050114,H0105011401,Bedding Set,Bedroom,Soft bedding set with comforter and pillow covers,"2nd Floor, Rack 7",141.0,24,50% discount
P0062,,,,cluster_0,H03,H0312,H031205,H03120507,H0312050709,Desk Organizer,Home Office,Multi-compartment desk organizer for clutter-free workspace,"1st Floor, Rack 9",393.0,44,10% discount
P0063,7.5,7.5,7.5,cluster_9,H03,H0312,H031201,H03120100,H0312010012,File Organizer,Home Office,Vertical file organizer for important documents,"1st Floor, Rack 9",450.0,41,10% discount
P0064,7.0,10.0,7.0,cluster_0,H00,H0004,H000401,H00040105,H0004010517,Rug,Living Room,Soft area rug to enhance flooring comfort,"1st Floor, Rack 1",344.0,24,10% discount
P0065,8.5,33.0,32.0,cluster_0,H03,H0313,H031302,H03130209,H0313020905,Wall Clock,Living Room,Stylish wall clock with easy-to-read numbers,"1st Floor, Rack 1",846.0,17,10% discount
P0066,0.3,15.5,8.5,cluster_0,H03,H0313,H031305,H03130515,H0313051502,Bath Towels,Bathroom,Luxury bath towels set for daily use,"2nd Floor, Rack 8",421.0,39,5% discount
P0067,5.4,20.5,7.5,cluster_4,H01,H0106,H010600,H01060013,H0106001333,Bath Mat,Bathroom,Non-slip bath mat for safety and comfort,"2nd Floor, Rack 8",353.0,7,5% discount
P0068,13.0,9.0,13.0,cluster_8,H00,H0000,H000003,H00000300,H0000030001,Shower Curtain,Bathroom,Water-resistant shower curtain with holder,"2nd Floor, Rack 8",588.0,38,5% discount
P0069,3.0,12.0,8.5,cluster_0,H03,H0312,H031201,H03120101,H0312010130,Personal Care Organizer,Bathroom,Compact organizer for personal care products,"2nd Floor, Rack 8",227.0,39,5% discount
P0070,8.7,14.0,8.7,cluster_0,H00,H0002,H000201,H00020100,H0002010001,Hair Dryer,Bathroom,Professional hair dryer with multiple heat settings,"2nd Floor, Rack 8",822.0,13,5% discount
P0071,4.9,16.5,6.5,cluster_0,H01,H0108,H010807,H01080700,H0108070022,Electric Toothbrush,Bathroom,Smart electric toothbrush with timer and pressure sensor,"2nd Floor, Rack 8",167.0,31,5% discount
P0072,3.0,12.0,12.0,cluster_0,H03,H0314,H031402,H03140200,H0314020001,Water Filter,Kitchen,Countertop water filter for clean drinking water,"1st Floor, Rack 3",988.0,50,10% discount
P0073,2.0,30.0,30.0,cluster_5,H03,H0312,H031204,H03120400,H0312040006,Ice Maker,Kitchen,Portable ice maker for gatherings and parties,"1st Floor, Rack 3",795.0,37,10% discount
P0074,9.0,6.0,9.0,,H00,H0004,H000402,H00040212,H0004021202,Cookware Set,Kitchen,Non-stick cookware set for versatile cooking,"1st Floor, Rack 3",279.0,32,10% discount
P0075,6.0,26.7,26.0,cluster_0,H03,H0313,H031302,H03130200,H0313020001,Pressure Cooker,Kitchen,Electric pressure cooker for quick meals,"1st Floor, Rack 3",105.0,22,10% discount
P0076,2.0,10.0,2.0,cluster_0,H03,H0313,H031309,H03130900,H0313090044,Oven Mitts,Kitchen,Heat-resistant oven mitts for safe baking,"1st Floor, Rack 3",834.0,14,10% discount
P0077,3.0,23.5,17.0,cluster_0,H03,H0311,H031110,H03111000,H0311100003,Snack Container,Kitchen,Stackable snack containers for easy storage,"1st Floor, Rack 3",736.0,32,10% discount
P0078,7.5,11.5,7.5,cluster_2,H00,H0003,H000312,H00031205,H0003120501,Food Storage Bags,Kitchen,Reusable food storage bags for leftovers,"1st Floor, Rack 3",756.0,24,10% discount
P0079,2.0,13.0,6.0,cluster_5,H00,H0003,H000316,H00031600,H0003160001,Ice Cream Maker,Kitchen,Compact ice cream maker for homemade treats,"1st Floor, Rack 3",794.0,16,10% discount
P0080,2.0,24.0,2.0,cluster_0,H03,H0312,H031204,H03120400,H0312040003,Electric Grill,Kitchen,Indoor electric grill for healthy cooking,"1st Floor, Rack 3",167.0,32,10% discount
P0082,3.4,17.6,8.1,cluster_0,H01,H0108,H010803,H01080311,H0108031101,Pizza Stone,Kitchen,Stone pizza baking surface for even heating,"1st Floor, Rack 3",423.0,46,10% discount
P0083,2.2,7.7,10.6,cluster_6,H00,H0002,H000201,H00020109,H0002010901,Colander,Kitchen,Stainless steel colander for draining pasta and vegetables,"1st Floor, Rack 3",204.0,1,10% discount
P0084,4.0,14.0,12.0,cluster_0,H03,H0313,H031302,H03130209,H0313020901,Kitchen Scale,Kitchen,Digital kitchen scale for precise measurements,"1st Floor, Rack 3",877.0,13,10% discount
P0085,12.0,26.0,11.0,cluster_0,H03,H0312,H031207,H03120710,H0312071015,Fruit Basket,Kitchen,Decorative fruit basket for kitchen countertop,"1st Floor, Rack 3",661.0,39,10% discount
P0086,39.0,34.0,49.0,,H03,H0315,H031508,H03150800,H0315080029,Bottle Opener,Kitchen,Handy bottle opener for parties and gatherings,"1st Floor, Rack 3",398.0,39,10% discount
P0087,2.0,5.7,19.0,cluster_4,H00,H0003,H000312,H00031200,H0003120002,Peeler,Kitchen,Sharp vegetable peeler with ergonomic handle,"1st Floor, Rack 3",157.0,50,10% discount
P0088,18.0,24.0,8.0,cluster_9,H00,H0002,H000200,H00020009,H0002000926,Backpack,Personal Item,Durable backpack for daily use or travel,"2nd Floor, Rack 9",380.0,38,5% discount
P0089,2.0,15.0,8.0,cluster_0,H03,H0315,H031512,H03151215,H0315121500,Yoga Mat,Exercise,Non-slip yoga mat for workouts and exercises,"2nd Floor, Rack 10",393.0,50,5% discount
P0090,1.0,5.0,6.0,cluster_0,H03,H0312,H031211,H03121109,H0312110917,Weights,Exercise,Adjustable dumbbells for home workout routines,"2nd Floor, Rack 10",757.0,5,5% discount
P0091,2.0,27.0,21.0,cluster_0,H03,H0313,H031307,H03130700,H0313070019,Foam Roller,Exercise,Foam roller for muscle recovery and massage,"2nd Floor, Rack 10",674.0,5,5% discount
P0092,6.0,15.0,8.0,cluster_6,H00,H0001,H000102,H00010210,H0001021022,Water Bottle,Personal Item,Insulated water bottle for hydration on the go,"2nd Floor, Rack 9",898.0,2,5% discount
P0093,7.0,18.0,7.0,cluster_0,H00,H0001,H000101,H00010105,H0001010512,Meal Prep Containers,Kitchen,Microwave-safe meal prep containers for storage,"1st Floor, Rack 3",525.0,6,10% discount
P0094,3.8,14.3,3.8,cluster_0,H01,H0108,H010807,H01080700,H0108070032,Air Bed,Bedroom,Inflatable air bed for guests and travel,"2nd Floor, Rack 7",208.0,50,50% discount
P0095,40.0,100.0,50.0,cluster_6,H03,H0314,H031401,H03140100,H0314010006,Portable Charger,Personal Item,High-capacity portable charger for devices,"2nd Floor, Rack 9",742.0,7,5% discount
P0096,3.4,14.5,4.4,cluster_0,H01,H0108,H010811,H01081100,H0108110038,Bluetooth Speaker,Personal Item,Wireless Bluetooth speaker for music playback,"2nd Floor, Rack 9",785.0,41,5% discount
P0097,1.0,19.2,9.0,cluster_4,H00,H0003,H000315,H00031501,H0003150102,Camera,Personal Item,Digital camera with high resolution for photography,"2nd Floor, Rack 9",605.0,14,5% discount
P0098,4.0,16.0,12.5,cluster_0,H03,H0313,H031302,H03130215,H0313021507,Handheld Vacuum,Utility Room,Compact handheld vacuum for quick clean-ups,"1st Floor, Rack 5",794.0,46,10% discount
P0099,3.0,11.3,10.0,cluster_0,H03,H0313,H031302,H03130210,H0313021001,Sewing Machine,Craft Room,Portable sewing machine for crafting and repairs,"3rd Floor, Rack 1",544.0,28,10% discount
P0100,2.0,27.0,21.0,cluster_0,H03,H0313,H031307,H03130700,H0313070009,Paint Set,Craft Room,Complete paint set for art projects,"3rd Floor, Rack 1",570.0,32,10% discount
P0101,4.5,17.6,4.5,cluster_0,H01,H0108,H010805,H01080500,H0108050033,Photo Album,Craft Room,Classic photo album for storing memories,"3rd Floor, Rack 1",485.0,29,10% discount
P0102,7.0,27.0,40.0,cluster_0,H03,H0313,H031302,H03130200,H0313020001,Lamp,Living Room,Contemporary floor lamp for living spaces,"1st Floor, Rack 1",123.0,38,10% discount
P0103,9.0,30.0,9.0,cluster_0,H00,H0000,H000003,H00000300,H0000030001,Pet Carrier,Pets,Travel pet carrier for small animals,"2nd Floor, Rack 2",197.0,26,10% discount
P0104,3.0,20.0,11.0,cluster_0,H03,H0311,H031111,H03111101,H0311110124,Collapsible Cart,Garage,Collapsible cart for outdoor activities and storage,"1st Floor, Rack 6",128.0,35,5% discount
P0105,11.0,13.0,16.0,cluster_0,H03,H0312,H031206,H03120610,H0312061042,Wire Shelf,Garage,Adjustable wire shelf for garage organization,"1st Floor, Rack 6",673.0,28,5% discount
P0108,10.0,25.0,32.0,cluster_0,H03,H0313,H031302,H03130205,H0313020501,Toolbox,Garage,Durable toolbox for storing tools and supplies,"1st Floor, Rack 6",383.0,37,5% discount
P0109,7.0,18.0,11.0,cluster_0,H01,H0107,H010700,H01070009,H0107000922,Lawn Chair,Outdoor,Folding lawn chair for camping and outdoor use,"3rd Floor, Rack 2",558.0,32,10% discount
P0110,6.2,16.8,6.2,cluster_0,H00,H0000,H000004,H00000405,H0000040501,Fire Pit,Outdoor,Outdoor fire pit for warmth and ambiance,"3rd Floor, Rack 2",917.0,36,10% discount
P0111,7.8,9.5,9.4,cluster_0,H00,H0001,H000105,H00010500,H0001050017,BBQ Grill,Outdoor,Portable BBQ grill for backyard barbecues,"3rd Floor, Rack 2",324.0,26,10% discount
P0112,17.5,9.5,24.0,cluster_0,H03,H0314,H031401,H03140102,H0314010203,Patio Umbrella,Outdoor,Adjustable patio umbrella for sun protection,"3rd Floor, Rack 2",469.0,32,10% discount
P0113,2.0,17.0,6.0,cluster_0,H03,H0315,H031504,H03150411,H0315041140,Solar Lights,Outdoor,LED solar lights for garden lighting,"3rd Floor, Rack 2",780.0,3,10% discount
P0114,2.0,7.5,9.0,cluster_0,H00,H0003,H000312,H00031209,H0003120906,Hand Mixer,Kitchen,Compact hand mixer with multiple speed settings,"1st Floor, Rack 3",306.0,21,10% discount
P0115,3.0,14.0,5.5,cluster_0,H00,H0001,H000105,H00010500,H0001050001,Pressure Washer,Garden,Electric pressure washer for home cleaning tasks,"3rd Floor, Rack 3",169.0,1,10% discount
P0116,0.5,14.0,6.0,cluster_3,H00,H0002,H000200,H00020009,H0002000926,Garden Trowel,Garden,Durable stainless steel garden trowel for planting,"3rd Floor, Rack 3",361.0,9,10% discount
P0117,5.0,10.8,5.6,cluster_0,H01,H0108,H010805,H01080500,H0108050006,Watering Can,Garden,Plastic watering can with a long spout for easy pouring,"3rd Floor, Rack 3",245.0,4,10% discount
P0118,5.0,28.0,16.0,,H03,H0311,H031109,H03110900,H0311090001,Garden Hose,Garden,Expandable garden hose with brass fittings,"3rd Floor, Rack 3",937.0,9,10% discount
P0119,15.0,15.0,15.0,cluster_0,H00,H0000,H000003,H00000300,H0000030001,Rake,Garden,Adjustable steel rake for leveling soil and leaves,"3rd Floor, Rack 3",827.0,32,10% discount
P0122,5.0,28.0,16.0,cluster_6,H03,H0311,H031109,H03110900,H0311090001,Pruning Shears,Garden,Ergonomic pruning shears for trimming plants,"3rd Floor, Rack 3",670.0,37,10% discount
P0123,5.5,22.5,19.0,,H03,H0313,H031302,H03130210,H0313021002,Potting Soil,Garden,Organic potting soil for potted plants,"3rd Floor, Rack 3",884.0,12,10% discount
P0124,17.0,24.0,17.0,cluster_0,H03,H0317,H031702,H03170212,H0317021212,Plant Fertilizer,Garden,Natural fertilizer for healthy plant growth,"3rd Floor, Rack 3",823.0,30,10% discount
P0125,2.0,5.0,9.0,cluster_5,H00,H0003,H000316,H00031600,H0003160001,Garden Gloves,Garden,Waterproof garden gloves for protection and grip,"3rd Floor, Rack 3",268.0,46,10% discount
P0126,4.0,16.0,5.0,cluster_0,H01,H0108,H010807,H01080709,H0108070906,Hose Reel,Garden,Wall-mounted garden hose reel for organized storage,"3rd Floor, Rack 3",903.0,35,10% discount
P0127,10.0,30.0,20.0,cluster_0,H03,H0311,H031101,H03110104,H0311010424,Garden Shed,Garden,Outdoor garden shed for tool and equipment storage,"3rd Floor, Rack 3",585.0,44,10% discount
P0128,9.0,14.0,9.0,cluster_0,H03,H0312,H031207,H03120710,H0312071013,Outdoor Rug,Outdoor,Durable outdoor rug for patios,"3rd Floor, Rack 2",827.0,23,10% discount
P0129,22.2,22.2,44.4,cluster_0,H01,H0107,H010701,H01070110,H0107011026,Picnic Blanket,Outdoor,Water-resistant picnic blanket for outdoor dining,"3rd Floor, Rack 2",906.0,14,10% discount
P0130,2.5,17.0,13.0,cluster_0,H03,H0313,H031303,H03130302,H0313030205,Umbrella Stand,Outdoor,Weighted umbrella stand for stability,"3rd Floor, Rack 2",386.0,28,10% discount
P0131,1.0,12.0,11.0,cluster_6,H00,H0003,H000316,H00031609,H0003160922,Thermal Insulation,Home Improvement,Reflective thermal insulation for energy efficiency,"3rd Floor, Rack 4",199.0,7,
P0132,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110901,H0311090103,Wall Hooks,Home Organization,Decorative wall hooks for coats and bags,"3rd Floor, Rack 5",305.0,4,
P0133,9.0,28.0,20.0,,H03,H0313,H031303,H03130302,H0313030201,Shoe Rack,Home Organization,Multi-tier shoe rack for entryway organization,"3rd Floor, Rack 5",484.0,28,
P0134,6.0,30.0,10.0,cluster_0,H03,H0314,H031405,H03140500,H0314050003,Vacuum Storage Bags,Storage Solutions,Space-saving vacuum storage bags for clothes,"2nd Floor, Rack 1",836.0,46,10% discount
P0135,3.0,15.0,55.0,cluster_0,H03,H0315,H031506,H03150612,H0315061244,Kitchen Drawer Organizer,Kitchen,Adjustable drawer organizer for utensils,"1st Floor, Rack 3",875.0,3,10% discount
P0136,3.3,25.9,8.5,cluster_0,H01,H0108,H010801,H01080110,H0108011006,Refrigerator Organizer,Bags,Clear refrigerator organizer bins for food storage,"3rd Floor, Rack 6",106.0,11,
P0137,23.6,24.1,8.3,cluster_0,H03,H0315,H031502,H03150200,H0315020035,Chopping Mat,Kitchen,Flexible chopping mat for safe food preparation,"1st Floor, Rack 3",560.0,44,10% discount
P0138,5.0,47.0,28.5,cluster_3,H03,H0312,H031205,H03120507,H0312050709,Silicone Baking Mat,Kitchen,Non-stick silicone baking mat for easy cleanup,"1st Floor, Rack 3",476.0,1,10% discount
P0139,4.0,17.0,11.0,,H03,H0315,H031506,H03150612,H0315061202,Mixing Bowls,Kitchen,Nesting mixing bowls in assorted sizes,"1st Floor, Rack 3",300.0,26,10% discount
P0140,2.0,27.0,21.0,cluster_0,H03,H0313,H031307,H03130700,H0313070008,Meat Thermometer,Kitchen,Digital meat thermometer with instant read feature,"1st Floor, Rack 3",208.0,30,10% discount
P0141,6.0,20.0,12.0,cluster_6,H00,H0001,H000102,H00010210,H0001021017,Pizza Cutter,Kitchen,Ergonomic pizza cutter for effortless slicing,"1st Floor, Rack 3",404.0,50,10% discount
P0142,7.0,12.0,12.0,cluster_0,H03,H0311,H031109,H03110900,H0311090001,Garlic Press,Kitchen,Heavy-duty garlic press for easy crushing,"1st Floor, Rack 3",949.0,50,10% discount
P0143,3.0,26.0,13.0,cluster_0,H03,H0311,H031113,H03111305,H0311130529,Egg Timer,Kitchen,Visual egg timer for perfect hard-boiled eggs,"1st Floor, Rack 3",391.0,35,10% discount
P0144,4.5,21.0,14.3,cluster_3,H00,H0003,H000311,H00031100,H0003110006,Herb Keeper,Kitchen,Airtight herb keeper for fresh herbs storage,"1st Floor, Rack 3",567.0,35,10% discount
P0145,4.0,12.5,4.0,cluster_0,H00,H0001,H000105,H00010500,H0001050001,Bread Box,Kitchen,Wooden bread box with ventilation for freshness,"1st Floor, Rack 3",733.0,25,10% discount
P0146,3.6,3.5,20.0,cluster_0,H03,H0312,H031205,H03120507,H0312050709,Nut Chopper,Kitchen,Manual nut chopper for quick chopping,"1st Floor, Rack 3",427.0,42,10% discount
P0147,12.5,37.0,12.5,cluster_9,H01,H0106,H010601,H01060112,H0106011202,Salad Spinner,Kitchen,Vegetable salad spinner for rinsing greens,"1st Floor, Rack 3",975.0,26,10% discount
P0148,6.0,7.0,12.2,cluster_0,H00,H0002,H000200,H00020000,H0002000032,Pan Protector,Kitchen,Soft pan protector to prevent scratches,"1st Floor, Rack 3",966.0,4,10% discount
